DBName,SqlCmd,MaxTime,AvgTime,TotTime,CNT
BSADBTW,"INSERT INTO #TempAffectedCase( CIF_KEY ,CustomerNo ,BatchId ,Created_Date ,HANDLEDBY ,HRScore ,ROLE ,ACTION ,@@NCHAR13@@@@NCHAR10@@,,          STATUS ,Fullbatchid ,CUST_TYPE_CDE ,REVIEWDATE ,REVIEWDATE_2 ,REVIEWDATE_3 ,REVIEWDATE_4 ,@@NCHAR13@@@@NCHAR10@@,,          REVIEWDATE_TBS ,EscalateDate ,EscalateDate_2 ,EscalateDate_3 ,REVIEWBY ,REVIEWBY_2 ,REVIEWBY_3 ,REVIEWBY_4 ,REVIEWBY_TBS,@@NCHAR13@@@@NCHAR10@@,,          EscalateBy ,EscalateBy_2 ,EscalateBy_3 ,IsDeleted,QueueID,HRSRiskRanking@@NCHAR13@@@@NCHAR10@@,,        )@@NCHAR13@@@@NCHAR10@@,, SELECT A.CIF_KEY, B.CustomerNo, A.BatchId,A.Created_Date, A.HANDLEDBy , A.HRScore, A.[ROLE], A.[ACTION], A.[STATUS], @@NCHAR13@@@@NCHAR10@@,,,,G.[FullBatchID], B.[CUST_TYPE_CDE],a.REVIEWDATE, A.REVIEWDATE_2 , A.REVIEWDATE_3 ,A.REVIEWDATE_4 ,A.REVIEWDATE_TBS ,@@NCHAR13@@@@NCHAR10@@,,,,a.EscalateDate,A.EscalateDate_2,A.EscalateDate_3,A.REVIEWBY,A.REVIEWBY_2,A.REVIEWBY_3,A.REVIEWBY_4,REVIEWBY_TBS,@@NCHAR13@@@@NCHAR10@@,,,,A.EscalateBy,A.EscalateBy_2,A.EscalateBy_3,A.IsDeleted,a.QUEUEID,a.HRSRiskRanking @@NCHAR13@@@@NCHAR10@@,,FROM dbo.HRS_CUST_RISK_MGMT A WITH(NOLOCK)@@NCHAR13@@@@NCHAR10@@,,JOIN dbo.BSA_SUB_CUST_FACT b WITH(NOLOCK) ON b.CIF_KEY = A.CIF_KEY@@NCHAR13@@@@NCHAR10@@,,JOIN dbo.HRS_DetectionBatch g WITH(NOLOCK) ON A.BatchId=G.ID @@NCHAR13@@@@NCHAR10@@,,WHERE (@HANDLEDBY IS NULL OR @@NCHAR13@@@@NCHAR10@@,,,,EXISTS(SELECT 1 FROM dbo.HRS_LOG X WHERE X.BatchId = A.BatchId AND A.CIF_KEY = X.CIF_KEY AND X.[HANDLEDBY] = @HANDLEDBY AND X.[ROLE] = @ROLE)) @@NCHAR13@@@@NCHAR10@@,,AND (@CUSTTYPE IS NULL OR A.[TYPE] = @CUSTTYPE) @@NCHAR13@@@@NCHAR10@@,,AND (@TRAN_DATEFR IS NULL OR CAST(A.[Created_Date] AS DATE) >= @TRAN_DATEFR) @@NCHAR13@@@@NCHAR10@@,,AND (@TRAN_DATETO IS NULL OR CAST(A.[Created_Date] AS DATE) <= @TRAN_DATETO) @@NCHAR13@@@@NCHAR10@@,,AND (@CUSTNO IS NULL OR B.CustomerNo LIKE '%'+ @CUSTNO + '%')@@NCHAR13@@@@NCHAR10@@,,AND (@BATCH IS NULL OR G.[FullBatchID] LIKE '%' + @BATCH + '%')",722,391,2743,7
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'3d17a2f3-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1643,1643,1643,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'98fd37be-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1733,1733,1733,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'c1465e0a-e543-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1613,1613,1613,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'c3465e0a-e543-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1613,1613,1613,1
BSADBTW,CREATE INDEX SARB2400242_ACCT_FACT_IDX3 ON SARB2400242_ACCT_FACT (ATAXID),342,342,342,1
BSADBTW,CREATE INDEX SARB2400279_TRXN_IDX2 ON SARB2400279_TRXN (GROUPID),400,400,400,1
BSADBTW,"DELETE a@@NCHAR13@@@@NCHAR10@@,,,,,FROM dbo.HRS_DetectionDetails a, dbo.HRS_ScenarioTemplates b@@NCHAR13@@@@NCHAR10@@,,,,,WHERE a.TemplateId = b.ID AND b.DetectionPart IN (3)@@NCHAR13@@@@NCHAR10@@,,,,,,,AND a.BatchId = @BatchID AND a.CIFKey = @CIF_KEY",720,720,720,1
BSADBTW,DROP INDEX SARB2400263_MASTER.SARB2400263_MASTER_IDX1,412,412,412,1
BSADBTW,DROP INDEX SARB2400297_MASTER.SARB2400297_MASTER_IDX1,1360,1360,1360,1
BSADBTW,"INSERT INTO #DetectionDetailsKeys (CIFKey,Score,ID,SyntaxId,TemplateId,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10)@@NCHAR13@@@@NCHAR10@@    SELECT A.CIFKey, A.Score,A.[Id],A.SyntaxId,A.TemplateId,A.Parameter1,A.Parameter2,A.Parameter3,A.Parameter4,A.Parameter5,A.Parameter6,A.Parameter7,A.Parameter8,A.Parameter9,A.Parameter10@@NCHAR13@@@@NCHAR10@@,FROM [dbo].[HRS_DetectionDetails] A WITH (NOLOCK) @@NCHAR13@@@@NCHAR10@@,JOIN #HighRiskCustomers B ON A.CIFKey = B.CIFKey@@NCHAR13@@@@NCHAR10@@,WHERE A.[BatchId] = @SESSIONID AND @@NCHAR13@@@@NCHAR10@@,A.[IsIncluded] = 'TRUE'",342,342,342,1
BSADBTW,"INSERT INTO #TempAffectedCase( CIF_KEY ,BatchId ,Created_Date ,HANDLEDBY ,HRScore ,ROLE ,ACTION ,STATUS ,LSTUPDATE_DATE,QueueID,HRSRiskRanking,IsDeleted,NextReviewDate)@@NCHAR13@@@@NCHAR10@@,,SELECT A.CIF_KEY,  A.BatchId, A.Created_Date, A.HANDLEDBY,A.HRScore, A.[ROLE], A.[ACTION], A.[STATUS],LSTUPDATE_DATE,A.QUEUEID,HRSRiskRanking,IsDeleted,A.NextReviewDate@@NCHAR13@@@@NCHAR10@@,,FROM HRS_CUST_RISK_MGMT A WITH(NOLOCK)@@NCHAR13@@@@NCHAR10@@,,WHERE  A.IsDeleted = 'N'  AND (@HANDLEDBY IS NULL OR @@NCHAR13@@@@NCHAR10@@        EXISTS(SELECT 1 FROM Temp_HRS_LOG X WITH (NOLOCK) WHERE X.BatchId = A.BatchId AND A.CIF_KEY = X.CIF_KEY)) @@NCHAR13@@@@NCHAR10@@,,AND (@CUSTTYPE IS NULL OR A.[TYPE] = @CUSTTYPE) @@NCHAR13@@@@NCHAR10@@,,AND (@TRAN_DATEFR IS NULL OR CAST(A.[Created_Date] AS DATE) >= @TRAN_DATEFR) @@NCHAR13@@@@NCHAR10@@,,AND (@TRAN_DATETO IS NULL OR CAST(A.[Created_Date] AS DATE) <= @TRAN_DATETO) @@NCHAR13@@@@NCHAR10@@,,AND (@LastUpdate_DateFr IS NULL OR CAST(A.[LSTUPDATE_DATE] AS DATE) >= @LastUpdate_DateFr) @@NCHAR13@@@@NCHAR10@@,,AND (@LastUpdate_DateTo IS NULL OR CAST(A.[LSTUPDATE_DATE] AS DATE) <= @LastUpdate_DateTo)  AND A.STATUS IN (1,2,3)",563,473,947,2
SOURCEDBTW,"INSERT INTO #TempCaseNewAccountTable (CIFKey, AcctKey, Appl, BatchId, CaseResetFlag)@@NCHAR13@@@@NCHAR10@@,,,,SELECT DISTINCT A.Cif_Key, Acct_Key, Appl, @BatchId, 1@@NCHAR13@@@@NCHAR10@@,,,,,FROM dbo.ACCT_XREF_ETL_LOG A@@NCHAR13@@@@NCHAR10@@,,,,,WHERE HRSCaseResetDone = 0@@NCHAR13@@@@NCHAR10@@,,,,,,,AND EXISTS,/*only include for CIF with exsting cases*/@@NCHAR13@@@@NCHAR10@@,,,,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,,,,FROM dbo.HRS_CUST_RISK_MGMT W@@NCHAR13@@@@NCHAR10@@,,,,,,,,,WHERE W.CIF_KEY = A.Cif_Key @@NCHAR13@@@@NCHAR10@@,,,,,,,,,,,AND W.STATUS= 3 )@@NCHAR13@@@@NCHAR10@@,,,,,,,AND NOT EXISTS,/*only include for CIF with exsting cases*/@@NCHAR13@@@@NCHAR10@@,,,,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,,,,FROM dbo.HRS_CUST_RISK_MGMT W@@NCHAR13@@@@NCHAR10@@,,,,,,,,,WHERE W.CIF_KEY = A.Cif_Key @@NCHAR13@@@@NCHAR10@@,,,,,,,,,,,AND W.STATUS <> 3)@@NCHAR13@@@@NCHAR10@@,,,,,,,AND NOT EXISTS,/*do not create duplicate record*/@@NCHAR13@@@@NCHAR10@@,,,,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,,,,FROM #TempCaseNewAccountTable X@@NCHAR13@@@@NCHAR10@@,,,,,,,,,WHERE x.CIFKey = A.Cif_Key)",763,626,1879,3
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'313a81d3-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1713,1713,1713,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'464f4862-e743-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",603,603,603,1
msdb,"ALTER INDEX [acct_xref_ext_idx] ON [BSADBTW].[dbo].[ACCT_XREF_EXT] REBUILD WITH (DATA_COMPRESSION = NONE, ONLINE = ON (WAIT_AT_LOW_PRIORITY (MAX_DURATION = 30, ABORT_AFTER_WAIT = SELF)), FILLFACTOR = 100, SORT_IN_TEMPDB = ON, MAXDOP = 1)",1931,1639,6558,4
msdb,"ALTER INDEX [HRS_CUST_RISK_MGMT_idx1] ON [BSADBTW].[dbo].[HRS_CUST_RISK_MGMT] REBUILD WITH (DATA_COMPRESSION = NONE, ONLINE = ON (WAIT_AT_LOW_PRIORITY (MAX_DURATION = 30, ABORT_AFTER_WAIT = SELF)), FILLFACTOR = 100, SORT_IN_TEMPDB = ON, MAXDOP = 1)",1792,1116,2232,2
msdb,"ALTER INDEX [IDX_CIF_KEY] ON [BSADBTW].[dbo].[TTL_DAILY_FACT] REBUILD WITH (DATA_COMPRESSION = NONE, ONLINE = ON (WAIT_AT_LOW_PRIORITY (MAX_DURATION = 30, ABORT_AFTER_WAIT = SELF)), FILLFACTOR = 100, SORT_IN_TEMPDB = ON, MAXDOP = 1)",1843,1843,1843,1
msdb,"ALTER INDEX [idx_Customer_RiskAssessmentAuditLog_CifKey] ON [BSADBTW].[dbo].[Customer_RiskAssessmentAuditLog] REBUILD WITH (DATA_COMPRESSION = NONE, ONLINE = ON (WAIT_AT_LOW_PRIORITY (MAX_DURATION = 30, ABORT_AFTER_WAIT = SELF)), FILLFACTOR = 100, SORT_IN_TEMPDB = ON, MAXDOP = 1)",433,433,433,1
BSADBTW,"ALTER TABLE SARB2400262_ACCT_FACT ADD CONSTRAINT pk_SARB2400262_ACCT_FACT PRIMARY KEY (CIF_KEY, APPL, ACCT_KEY)",360,360,360,1
BSADBTW,"ALTER TABLE SARB2400279_ACCT_FACT ADD CONSTRAINT pk_SARB2400279_ACCT_FACT_ScenarioGroupLevel PRIMARY KEY (CIF_KEY, APPL, ACCT_KEY)",1810,1043,4175,4
BSADBTW,CREATE INDEX SARB2400244_TRXN_IDX4 ON SARB2400244_TRXN (STYPE),1523,1523,1523,1
BSADBTW,CREATE INDEX SARB2400248_ACCT_FACT_IDX3 ON SARB2400248_ACCT_FACT (ATAXID),981,981,981,1
BSADBTW,CREATE INDEX SARB2400281_TRXN_IDX3 ON SARB2400281_TRXN (CIF_KEY),324,324,324,1
BSADBTW,"CREATE INDEX SARB2400281_TRXN_IDX8 ON SARB2400281_TRXN (SIGNER_KEY, STYPE, AMTIN, AMTOT)",413,368,737,2
BSADBTW,CREATE INDEX SARB2400283_ACCT_FACT_IDX3 ON SARB2400283_ACCT_FACT (ATAXID),873,873,873,1
BSADBTW,"CREATE INDEX SARB2400298_TRXN_IDX10 ON SARB2400298_TRXN (HHOLD_KEY, STYPE, AMTIN, AMTOT)",462,462,462,1
SOURCEDBTW,DELETE FROM dbo.BSA_PHONE_LINK,549,549,549,1
BSADBTW,DELETE FROM dbo.SwiftMX_DetectionResult_NotHit WHERE CaseId = @DelCaseId,533,443,6212,14
BSADBTW,DELETE FROM HRS_CustomerAccounts_Fact where BatchID = @BatchID and CIFKey = @CifKey,323,314,1572,5
BSADBTW,DELETE FROM HRS_QuestionaireYesNoQuestionAnswers where BatchID = @BatchID and CIFKey = @CifKey,312,312,312,1
BSADBTW,"DROP TABLE Temp_HRS_Log@@NCHAR13@@@@NCHAR10@@,      @@NCHAR13@@@@NCHAR10@@,",1023,603,1810,3
BSADBTW,"INSERT  INTO @SWIFT_TEMP_QUEUESTATISTIC ( QUEUEID, BranchNo, SRC, TASK_ONHAND, TASK_ASSIGNED)@@NCHAR13@@@@NCHAR10@@        SELECT  B.QUEUEID, B.BRNCH_NBR, C.SRC,@@NCHAR13@@@@NCHAR10@@                TASK_ONHAND = ( SELECT  COUNT(QueueID)@@NCHAR13@@@@NCHAR10@@                                FROM    dbo.SWIFT_MTHeader_Main WITH ( NOLOCK )@@NCHAR13@@@@NCHAR10@@                                WHERE   Detected = 'Y'@@NCHAR13@@@@NCHAR10@@                                        AND QueueID = B.QUEUEID@@NCHAR13@@@@NCHAR10@@                                        AND [Status] <> '3' ), @@NCHAR13@@@@NCHAR10@@,,,,TASK_ASSIGNED = 0 @@NCHAR13@@@@NCHAR10@@        FROM    dbo.WORKFLOW_MGMT_USERS A @@NCHAR13@@@@NCHAR10@@,,,,JOIN dbo.WORKFLOW_MGMT_BRANCH B ON A.QUEUEID = B.QUEUEID@@NCHAR13@@@@NCHAR10@@                JOIN dbo.WORKFLOW_MGMT_QUEUE C ON B.QUEUEID = C.QUEUEID@@NCHAR13@@@@NCHAR10@@        WHERE   C.DEL_FLAG = 'N' AND ISNULL(C.IsIncludeAllBranch,0) = 0@@NCHAR13@@@@NCHAR10@@,,,,AND C.SRC = @SRC@@NCHAR13@@@@NCHAR10@@                AND EXISTS ( SELECT 1@@NCHAR13@@@@NCHAR10@@                             FROM   dbo.WORKFLOW_MGMT_MODULE@@NCHAR13@@@@NCHAR10@@                             WHERE  ModuleName = 'NAMEDB' AND MemberCode = @SRC@@NCHAR13@@@@NCHAR10@@                                    AND MemberCode = C.SRC )@@NCHAR13@@@@NCHAR10@@                AND @TODAY NOT BETWEEN ISNULL(HOLIDAYFROM, '') AND ISNULL(HOLIDAYTO, '')@@NCHAR13@@@@NCHAR10@@                AND ISNULL(C.IsDefaultWorkgroup, 0) = @AssignToDefaultWorkgroup @@NCHAR13@@@@NCHAR10@@,,UNION /*queue that include all branch may not have data in WORKFLOW_MGMT_BRANCH*/@@NCHAR13@@@@NCHAR10@@,,SELECT  A.QUEUEID, B.BRNCH_NBR, C.SRC,@@NCHAR13@@@@NCHAR10@@                TASK_ONHAND = ( SELECT  COUNT(QueueID)@@NCHAR13@@@@NCHAR10@@                                FROM    dbo.SWIFT_MTHeader_Main WITH ( NOLOCK )@@NCHAR13@@@@NCHAR10@@                                WHERE   Detected = 'Y'@@NCHAR13@@@@NCHAR10@@                                        AND QueueID = A.QUEUEID@@NCHAR13@@@@NCHAR10@@                                        AND [Status] <> '3' ), @@NCHAR13@@@@NCHAR10@@,,,,TASK_ASSIGNED = 0 @@NCHAR13@@@@NCHAR10@@        FROM    dbo.WORKFLOW_MGMT_USERS A @@NCHAR13@@@@NCHAR10@@,,,,CROSS JOIN dbo.BRANCH_DIM B @@NCHAR13@@@@NCHAR10@@                JOIN dbo.WORKFLOW_MGMT_QUEUE C ON A.QUEUEID = C.QUEUEID@@NCHAR13@@@@NCHAR10@@        WHERE   C.DEL_FLAG = 'N' AND C.IsIncludeAllBranch = 1@@NCHAR13@@@@NCHAR10@@,,,,AND C.SRC = @SRC@@NCHAR13@@@@NCHAR10@@                AND EXISTS ( SELECT 1@@NCHAR13@@@@NCHAR10@@                             FROM   dbo.WORKFLOW_MGMT_MODULE@@NCHAR13@@@@NCHAR10@@                             WHERE  ModuleName = 'NAMEDB' AND MemberCode = @SRC@@NCHAR13@@@@NCHAR10@@                                    AND MemberCode = C.SRC )@@NCHAR13@@@@NCHAR10@@                AND @TODAY NOT BETWEEN ISNULL(HOLIDAYFROM, '') AND ISNULL(HOLIDAYTO, '')@@NCHAR13@@@@NCHAR10@@                AND ISNULL(C.IsDefaultWorkgroup, 0) = @AssignToDefaultWorkgroup @@NCHAR13@@@@NCHAR10@@        GROUP BY A.QUEUEID, B.BRNCH_NBR, C.SRC@@NCHAR13@@@@NCHAR10@@        ORDER BY QUEUEID, BRNCH_NBR",1463,1463,1463,1
SOURCEDBTW,"INSERT INTO #TempCaseNewAccountTable (CIFKey, AcctKey, Appl)@@NCHAR13@@@@NCHAR10@@,,,SELECT X.CIF_KEY, X.ACCT_KEY, X.APPL@@NCHAR13@@@@NCHAR10@@,,,FROM dbo.ACCT_XREF_DIM X, dbo.PB_CUSTOMER_FACT V@@NCHAR13@@@@NCHAR10@@,,,WHERE X.CIF_KEY = V.CIF_KEY AND (@CIF_Filtering IS NULL OR V.RecordStatus = @CIF_Filtering),-- Add filteration on Closed CIF@@NCHAR13@@@@NCHAR10@@,,,,AND CONVERT(varchar(8), X.ADTOPN, 112) > (SELECT ISNULL(MAX(Time_Key), CONVERT(varchar(8), DATEADD(day, -1, CAST(@time_key AS DATETIME)), 112)) AS file_time_key FROM dbo.Dataload_Batch WHERE Time_Key < @time_key)@@NCHAR13@@@@NCHAR10@@,,,,AND CONVERT(varchar(8), X.ADTOPN, 112) <= @time_key @@NCHAR13@@@@NCHAR10@@,,,,AND EXISTS /*only include existing customers*/@@NCHAR13@@@@NCHAR10@@,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,FROM dbo.HRS_CUST_RISK_MGMT W, dbo.HRS_DetectionBatch U@@NCHAR13@@@@NCHAR10@@,,,,,,WHERE W.CIF_KEY = X.CIF_KEY AND W.BatchId = U.Id @@NCHAR13@@@@NCHAR10@@,,,,,,,,AND W.STATUS = '3')@@NCHAR13@@@@NCHAR10@@,,,,AND NOT EXISTS,/*only include for CIF without pending cases*/@@NCHAR13@@@@NCHAR10@@,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,FROM dbo.HRS_CUST_RISK_MGMT W, dbo.HRS_DetectionBatch U@@NCHAR13@@@@NCHAR10@@,,,,,,WHERE W.CIF_KEY = X.CIF_KEY AND W.BatchId = U.Id @@NCHAR13@@@@NCHAR10@@,,,,,,,,AND W.STATUS <> '3' )@@NCHAR13@@@@NCHAR10@@,,,,AND NOT EXISTS --non COD; non multicurrency account control@@NCHAR13@@@@NCHAR10@@,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,FROM dbo.HRS_CustomerAccounts_Fact T@@NCHAR13@@@@NCHAR10@@,,,,,,WHERE T.CifKey = X.CIF_KEY AND T.AccountKey = X.ACCT_KEY AND T.APPL = X.APPL @@NCHAR13@@@@NCHAR10@@,,,,,,,,AND X.MULTI_CCY_ACCNO IS NULL AND X.APPL <> 'COD')@@NCHAR13@@@@NCHAR10@@,,,,AND NOT EXISTS /*20120801 Steven: multi currency account control */@@NCHAR13@@@@NCHAR10@@,,,,,(SELECT 1@@NCHAR13@@@@NCHAR10@@,,,,,,FROM dbo.HRS_CustomerAccounts_Fact Y@@NCHAR13@@@@NCHAR10@@,,,,,,WHERE Y.CifKey = X.CIF_KEY AND Y.APPL = X.APPL AND Y.MULTI_CCY_ACCNO = X.MULTI_CCY_ACCNO @@NCHAR13@@@@NCHAR10@@,,,,,,,,AND X.MULTI_CCY_ACCNO IS NOT NULL)@@NCHAR13@@@@NCHAR10@@,,,,AND X.ASTATCD = 0 /*20120807 Steven: Only create CIP for active account */@@NCHAR13@@@@NCHAR10@@,,,,AND EXISTS(SELECT 1 FROM @ActiveCategoryAndCustomerSegment CCS @@NCHAR13@@@@NCHAR10@@,,,,,,,WHERE CCS.Category = V.CUST_TYPE_CDE AND CCS.CustomerSegment = V.Customer_Segment)",560,416,15419,37
